picked_by,first_name,last_name,full_name,player_id,position,team,years_exp,rookie_year,rookie_deal,contract_length,sal_rank,ntc_elig,_2023_2024,_2024_2025,_2025_2026,,Poach Cost,,
antonius405,Josh,Downs,Josh Downs,9500,WR,IND,0,2023,Y,3,133,,$3,$4,$6,,2024 (2nd),,
antonius405,Israel,Abanikanda,Israel Abanikanda,9227,RB,NYJ,0,2023,Y,3,194,,$1,$1,$2,,2024 (3rd),,
gnawhnehpets,Bryce,Young,Bryce Young,9228,QB,CAR,0,2023,Y,3,52,,$15,$21,$29,,"2024 (1st,2nd,3rd)",,
gnawhnehpets,Anthony,Richardson,Anthony Richardson,9229,QB,IND,0,2023,Y,3,52,,$15,$21,$29,,"2024 (1st,2nd,3rd)",,
gnawhnehpets,Jonathan,Mingo,Jonathan Mingo,10225,WR,CAR,0,2023,Y,3,100,,$5,$7,$10,,2024 (1st),,
gnawhnehpets,Evan,Hull,Evan Hull,9220,RB,IND,0,2023,Y,3,194,,$1,$1,$2,,2024 (3rd),,
hashbrown247,Quentin,Johnston,Quentin Johnston,9754,WR,LAC,0,2023,Y,3,71,,$10,$14,$20,,"2024 (1st,2nd)",,
hashbrown247,C.J.,Stroud,C.J. Stroud,9758,QB,HOU,0,2023,Y,3,71,,$10,$14,$20,,"2024 (1st,2nd)",,
hashbrown247,Roschon,Johnson,Roschon Johnson,10235,RB,CHI,0,2023,Y,3,100,,$5,$7,$10,,2024 (1st),,
hashbrown247,Sam,LaPorta,Sam LaPorta,10859,TE,DET,0,2023,Y,3,100,,$5,$7,$10,,2024 (1st),sammyboiie,11:00 AM
jdigi15,Jaxon,Smith-Njigba,Jaxon Smith-Njigba,9488,WR,SEA,0,2023,Y,3,52,,$15,$21,$29,,"2024 (1st,2nd,3rd)",,
jdigi15,De'Von,Achane,De'Von Achane,9226,RB,MIA,0,2023,Y,3,100,,$5,$7,$10,,2024 (1st),,
jdigi15,Marvin,Mims,Marvin Mims,9494,WR,DEN,0,2023,Y,3,100,,$5,$7,$10,,2024 (1st),,
nbaguy8,Zay,Flowers,Zay Flowers,9997,WR,BAL,0,2023,Y,3,100,,$5,$7,$10,,2024 (1st),gnawhnehpets,11:02 AM
nbaguy8,Tank,Dell,Tank Dell,9502,WR,HOU,0,2023,Y,3,133,,$3,$4,$6,,2024 (2nd),patrickchan4687,12:07 PM
nbaguy8,Sean,Tucker,Sean Tucker,9506,RB,TB,0,2023,Y,3,194,,$1,$1,$2,,2024 (3rd),,
patrickchan4687,Will,Levis,Will Levis,9999,QB,TEN,0,2023,Y,3,100,,$5,$7,$10,,2024 (1st),,
patrickchan4687,Tank,Bigsby,Tank Bigsby,9225,RB,JAX,0,2023,Y,3,100,,$5,$7,$10,,2024 (1st),,
patrickchan4687,Zach,Evans,Zach Evans,9222,RB,LAR,0,2023,Y,3,133,,$3,$4,$6,,2024 (2nd),,
patrickchan4687,Rashee,Rice,Rashee Rice,10229,WR,KC,0,2023,Y,3,133,,$3,$4,$6,,2024 (2nd),,
PersianEmpire99,Luke,Musgrave,Luke Musgrave,9481,TE,GB,0,2023,Y,3,133,,$3,$4,$6,,2024 (2nd),,
PersianEmpire99,Luke,Schoonmaker,Luke Schoonmaker,10871,TE,DAL,0,2023,Y,3,194,,$1,$1,$2,,2024 (3rd),,
sammyboiie,Tyjae,Spears,Tyjae Spears,9508,RB,TEN,0,2023,Y,3,100,,$5,$7,$10,,2024 (1st),,
sammyboiie,Michael,Wilson,Michael Wilson,10232,WR,ARI,0,2023,Y,3,133,,$3,$4,$6,,2024 (2nd),,
sammyboiie,Michael,Mayer,Michael Mayer,9482,TE,LV,0,2023,Y,3,133,,$3,$4,$6,,2024 (2nd),,
sammyboiie,Stetson,Bennett,Stetson Bennett,10857,QB,LAR,0,2023,Y,3,194,,$1,$1,$2,,2024 (3rd),,
Teamocil86,Jalin,Hyatt,Jalin Hyatt,9497,WR,NYG,0,2023,Y,3,133,,$3,$4,$6,,2024 (2nd),,
Teamocil86,Dorian,Thompson-Robinson,Dorian Thompson-Robinson,10862,QB,CLE,0,2023,Y,3,194,,$1,$1,$2,,2024 (3rd),,
toshil,Zach,Charbonnet,Zach Charbonnet,9753,RB,SEA,0,2023,Y,3,71,,$10,$14,$20,,"2024 (1st,2nd)",,
toshil,Kendre,Miller,Kendre Miller,9757,RB,NO,0,2023,Y,3,100,,$5,$7,$10,,2024 (1st),,
toshil,Chase,Brown,Chase Brown,9224,RB,CIN,0,2023,Y,3,133,,$3,$4,$6,,2024 (2nd),,
toshil,Jayden,Reed,Jayden Reed,10222,WR,GB,0,2023,Y,3,133,,$3,$4,$6,,2024 (2nd),sammyboiie,8:01 PM